full_image_path,product_id,generated_captions_json
/Users/amankumar/Desktop/Aims/final data/images/B0F2FF44NN_img2.jpg,B0F2FF44NN,"[""a detailed description of the product : black headphones on a white background"", ""a black headphone that is very nice against a white background"", ""an image of a pair of headphones sitting on top of each other"", ""features of this product : headphones have a built - in microphone"", ""black and silver colored photograph of a headset and a black mic""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DGTTKCJX_img1.jpg,B0DGTTKCJX,"[""features of this product : white headphones with a pink light"", ""an image of a pair of white headphones sitting on top of each other"", ""playstation reveals new wireless headset for gamer ' s with pst"", ""a detailed description of the product : white headphones on a white background"", ""there is a headset with the color of the white headphone""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DGTTKCJX_img2.jpg,B0DGTTKCJX,"[""headphones and other items are arranged around in an image"", ""a white pair of headphones sit against a white background"", ""an image of a pair of headphones sitting on top of each other"", ""a detailed description of the product : white headphones on a white background"", ""features of this product : white headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0856HY85J_img1.jpg,B0856HY85J,"[""this is a close up of a pair of headphones on a white background"", ""dj headphones on display with a white background and a copy"", ""features of this product : headphones are black and grey"", ""a detailed description of the product : headphones on a white background"", ""picture of a close up view of a pair of black headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0856HY85J_img2.jpg,B0856HY85J,"[""isolated image of a pair of headphones on a white background"", ""yamaha slh 602e headphones for sale only"", ""an image of a pair of headphones sitting on top of each other"", ""features of this product : headphones are black and white"", ""a detailed description of the product : black and white""]"
/Users/amankumar/Desktop/Aims/final data/images/B0B1PXM75C_img1.jpg,B0B1PXM75C,"[""beatsport airflow wireless headphones on display with headbands"", ""there is a pair of blue headphones sitting on top of each other"", ""wireless on - ear headphones made by bluetoother"", ""features of this product : bluetooth headphones with a built - in microphone"", ""a detailed description of the product : blue headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0B1PXM75C_img2.jpg,B0B1PXM75C,"[""headphones with closed ends and on ear microphones sitting on a white surface"", ""pair of headphones laying next to each other on a white surface"", ""features of this product : headphones are blue and grey"", ""there is a pair of headphones sitting on top of each other"", ""a detailed description of the product : blue headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B08QTYYNDN_img1.jpg,B08QTYYNDN,"[""picture a closeup of a jbl headphone on white"", ""features of this product : black jbl studio headphones on a white background"", ""an image of a pair of headphones sitting on top of each other"", ""microsoft ' s jbl adq bluetooth headphones are the perfect wireless accessory"", ""a detailed description of the product : of the jbl headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B08QTYYNDN_img2.jpg,B08QTYYNDN,"[""a detailed description of the product : black headphones on a white background"", ""an image of a pair of headphones sitting on top of each other"", ""on - ear headphones with mic - black"", ""cable cord for bluetooth headset with built in microphone, black"", ""features of this product : headphones are made of plastic""]"
/Users/amankumar/Desktop/Aims/final data/images/B09QL3K2GD_img1.jpg,B09QL3K2GD,"[""an image of a pair of headphones sitting on top of each other"", ""features of this product : headphones are designed to fit your needs"", ""len headphones are a compact, wireless item that lets players close to"", ""a detailed description of the product : headphones on a white background"", ""pair of bluetooth headphones in grey color closeup""]"
/Users/amankumar/Desktop/Aims/final data/images/B09QL3K2GD_img2.jpg,B09QL3K2GD,"[""an image of a pair of headphones sitting next to each other"", ""features of this product : headphones have a built - in microphone"", ""motorola stereo headphones on a white background"", ""headphones with black and white lines on a white sheet stock photo"", ""a detailed description of the product : headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DQPKH93F_img1.jpg,B0DQPKH93F,"[""headphones with a mic and volume control in blue"", ""this is an image of a pair of earphones that are blue"", ""features of this product : blue earphones with mic and volume control"", ""a detailed description of the product : in - ear headphones"", ""verbia ear buds stereo headset blue chrome""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DQPKH93F_img2.jpg,B0DQPKH93F,"[""a detailed description of the product : blue earphones with mic and volume control"", ""a pair of blue ear buds with an ear wire and earphone plug"", ""earphones with mic for ipod and smartphone with blue color"", ""a pair of blue earphones on a white background"", ""features of this product : blue earphones with mic and volume control""]"
/Users/amankumar/Desktop/Aims/final data/images/B09XS7JWHH_img1.jpg,B09XS7JWHH,"[""a detailed description of the product : black headphones on a white background"", ""features of this product : headphones have a built - in microphone and a built - in mic"", ""this is an image of a pair of headphones on a white background"", ""samsung wireless headphones have built in a compact design to fit your budget"", ""bose ' s new noise canceler headphones feature a solid surface and can be used for several different purposes""]"
/Users/amankumar/Desktop/Aims/final data/images/B09XS7JWHH_img2.jpg,B09XS7JWHH,"[""features of this product : black leather handbag"", ""duffel bag, with removable shoulder strap and flap"", ""a detailed description of the product : black with a black handle"", ""this is an image of a black purse on a white background"", ""little pouch with strap""]"
/Users/amankumar/Desktop/Aims/final data/images/B0863FR3S9_img1.jpg,B0863FR3S9,"[""silver sony headphones are held to a pole on a white surface"", ""amazon com au sony walkman wireless headphones product"", ""features of this product : headphones are very comfortable and comfortable"", ""a detailed description of the product : with a white background"", ""there is a pair of headphones sitting on top of each other""]"
/Users/amankumar/Desktop/Aims/final data/images/B0863FR3S9_img2.jpg,B0863FR3S9,"[""features of this product : headphones are very comfortable and comfortable to wear"", ""silver headphones on a white background with a white background"", ""a detailed description of the product : headphones on a white background"", ""metal steel plated headphone with light blue cord and neck band"", ""these are three stereo headphones one has a mic, the other has a mic""]"
/Users/amankumar/Desktop/Aims/final data/images/B0B4G44RFS_img1.jpg,B0B4G44RFS,"[""features of this product : black and white headphones on a white background"", ""an image of a pair of headphones sitting on top of each other"", ""wireless headphone with white headphone and black leather earpads"", ""sony ' s bluetooth headphones are both comfortable and lightweight"", ""a detailed description of the product : on - ear headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0B4G44RFS_img2.jpg,B0B4G44RFS,"[""black and white headphones are positioned side by side to show off the sound"", ""features of this product : of headphones"", ""an image of a pair of headphones sitting on top of each other"", ""picture in black and white of a headrested device that is in black and white"", ""a detailed description of the product : black and white headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D3TMKMYN_img1.jpg,B0D3TMKMYN,"[""a detailed description of the product :ly designed to look like a headphone"", ""someone ' s hands holding a sony noise noise control earpiece"", ""electronic headphones of the sony - certified system - including an in ear microphone and mic"", ""this is an image of a pair of headphones on a white background"", ""features of this product : bluetooth headphones with a built - in microphone""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D3TMKMYN_img2.jpg,B0D3TMKMYN,"[""an image of a green purse on a white background"", ""the purse has been made out of a plastic bag with a rope"", ""features of this product : handbag is made of nylon and has a metal handle"", ""medium size metal handle barrel purse bag - hunter green"", ""a detailed description of the product : green with a black handle""]"
/Users/amankumar/Desktop/Aims/final data/images/B08QTVL6C5_img1.jpg,B08QTVL6C5,"[""dock by jbl headset with noise blocking back and noise recording capability"", ""features of this product : blue jbl wireless headphones"", ""there is a pair of headphones sitting on top of each other"", ""dock audio on ear headphones"", ""a detailed description of the product : blue with the jbl logo on it""]"
/Users/amankumar/Desktop/Aims/final data/images/B08QTVL6C5_img2.jpg,B08QTVL6C5,"[""headset with a microphone attached to a white background"", ""this is an image of a pair of headphones on a white background"", ""features of this product : headphones are very comfortable and comfortable to wear"", ""wrist strap on grey headphone"", ""a detailed description of the product : headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CCZ26B5V_img1.jpg,B0CCZ26B5V,"[""a close up of a pair of headphones on a white background"", ""a detailed description of the product : on - ear headphones"", ""\u043a\u0440\u0430\u043d\u0448\u0435 bose headphones black series bose bose on - ear wireless headset"", ""xgimi wireless noise headphones have built with its own mic""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CCZ26B5V_img2.jpg,B0CCZ26B5V,"[""silver and black color headphones with black cord"", ""they made these headphones so they could keep a bit of a distance from their ear weight for them"", ""features of this product : headphones have a built - in microphone"", ""a detailed description of the product : black and white"", ""black and white photo of a pair of headphones with a cord""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D4ZCH5HS_img1.jpg,B0D4ZCH5HS,"[""features of this product : white headphones with a white band"", ""a detailed description of the product : white headphones on a white background"", ""there is a pair of headphones that are on a white surface"", ""someone is using their own headphones to control their sounds"", ""picture from above on a white headset with a glowing microphone""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D4ZCH5HS_img2.jpg,B0D4ZCH5HS,"[""isolated white headphones on a white background"", ""an image of a pair of headphones sitting on top of each other"", ""this headphones are white and gray with black and white band"", ""a detailed description of the product : white headphones on a white background"", ""features of this product : white headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0C6KKQ7ND_img1.jpg,B0C6KKQ7ND,"[""a detailed description of the product : with the headphones on"", ""features of this product : headphones are blue and white"", ""there is a pair of headphones sitting on top of each other"", ""bluetooth high quality, lightweight headphones with wired connection"", ""xbox wireless headset with headphones, a microphone and built in mic""]"
/Users/amankumar/Desktop/Aims/final data/images/B0C6KKQ7ND_img2.jpg,B0C6KKQ7ND,"[""beatsound 3 1 headphones for the elderly are great for your ear"", ""there is a pair of headphones sitting on top of each other"", ""a detailed description of the product : white headphones on a white background"", ""features of this product : headphones are white and blue"", ""beatsport white noise noise cancel headset by beopooo - white noise - less noise""]"
/Users/amankumar/Desktop/Aims/final data/images/B08G1ZBKGP_img1.jpg,B08G1ZBKGP,"[""an image of a pair of headphones sitting on top of each other"", ""features of this product : black skull headphones"", ""a detailed description of the product : headphones with the skull logo on the front"", ""black skull headphones sit on top of each other, with white background"", ""a close - up of a pair of skull headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B08G1ZBKGP_img2.jpg,B08G1ZBKGP,"[""this is a photo of head headset on white background"", ""a detailed description of the product : headphones"", ""a photo provided in a local post - war document shows the headphones that could be sold to a chinese consumer,"", ""a close up of a pair of headphones on a white background"", ""features of this product : headphones have a built - in microphone and a built - in mic""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CQKDKPS6_img1.jpg,B0CQKDKPS6,"[""a detailed description of the product : bluetooth headphones on a white background"", ""features of this product : headphones are designed to fit your needs"", ""bluetooths on - ear wireless headphones for all of your heads and shoulders in a range of colors and designs"", ""a pair of bluediore on ear headphones against a white background"", ""a pair of black headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CQKDKPS6_img2.jpg,B0CQKDKPS6,"[""features of this product : of headphones"", ""an image of a pair of headphones sitting on top of each other"", ""realistic digital headset in the center of a blank photo"", ""bluetooth headset - earpieces for sound therapy"", ""a detailed description of the product : headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B00HVLUR86_img1.jpg,B00HVLUR86,"[""books audio and video tech like headphones are being sold in the us"", ""buy a large image of a pair of professional headphones on a white background"", ""this is an image of a pair of headphones on a white background"", ""a detailed description of the product : headphones on a white background"", ""features of this product : headphones are designed for the music industry""]"
/Users/amankumar/Desktop/Aims/final data/images/B00HVLUR86_img2.jpg,B00HVLUR86,"[""a detailed description of the product : headphones in black and white"", ""features of this product : of headphones"", ""black and white photo of a pair of headphones on a stand"", ""the headphones have the same shape as the rosette"", ""sony has announced the first generation of the new headphone with the new design""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D3LGQ841_img1.jpg,B0D3LGQ841,"[""features of this product : black headphones with gold trims"", ""these are the most stylish headphones under $ 100, but they look like they have been designed"", ""akc akc k7bt on - ear, wireless bluetooth headphone - black"", ""a detailed description of the product : headphones with a usb cable"", ""a close up of a pair of headphones and a usb drive""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D3LGQ841_img2.jpg,B0D3LGQ841,"[""bluetooth audio headphones wh - m150, wired, foldable, over the ear, black"", ""an image of a pair of headphones sitting on top of each other"", ""electronic electronic headphones and earphone sitting on a white background"", ""a detailed description of the product : with the headphones attached"", ""features of this product : of the headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B07L8LTS3J_img1.jpg,B07L8LTS3J,"[""closeup of a black and red headset with a red headphone"", ""this is a picture of a red and black headphone with a microphone"", ""a detailed description of the product : red and black headphones"", ""features of this product : red and black headphones"", ""electronic gaming headphones with led and usb output control""]"
/Users/amankumar/Desktop/Aims/final data/images/B07L8LTS3J_img2.jpg,B07L8LTS3J,"[""flashing light headphones have a bright red colored metal material wrapped around them"", ""pair of red and black headphones on a white background"", ""a detailed description of the product : red and black headphones"", ""features of this product : red and black headphones"", ""microsoft studio red headphones with black cording""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CGR7XRYW_img1.jpg,B0CGR7XRYW,"[""features of this product : white headphones are very comfortable"", ""there is a pair of headphones that are on a white surface"", ""a detailed description of the product : headphones on a white background"", ""nokia has recently released over - ear headphones that look like they do not need a cord"", ""sony white noise noise control headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CGR7XRYW_img2.jpg,B0CGR7XRYW,"[""an image of a pair of headphones sitting on top of each other"", ""electronic headphones over white background"", ""features of this product : headphones are very comfortable and comfortable to wear"", ""a detailed description of the product : headphones on a white background"", ""the large black and white headphones are next to each other""]"
/Users/amankumar/Desktop/Aims/final data/images/B08TV2P1N8_img1.jpg,B08TV2P1N8,"[""a detailed description of the product : bluetooth earphones"", ""the black earphones are laying side by side and the cord is connected"", ""features of this product : of the wireless earphones have a built - in microphone and a built - in mic"", ""a close up of a pair of headphones on a white background"", ""the in ear headphones are made out of materials like metal""]"
/Users/amankumar/Desktop/Aims/final data/images/B08TV2P1N8_img2.jpg,B08TV2P1N8,"[""features of this product : of the earphones are black and white"", ""there is a black and white photo of a pair of earphones"", ""a detailed description of the product : in black and white"", ""picture of a line drawing of two legs on one side and the other"", ""another pair of headsets that are not wearing earplannes""]"
/Users/amankumar/Desktop/Aims/final data/images/B09ZJ45J7L_img1.jpg,B09ZJ45J7L,"[""features of this product : red and black headphones on a white background"", ""the red and black headphones are on a white surface"", ""a detailed description of the product : red and black headphones"", ""wireless headphones with a built in microphone and an extension cable are shown"", ""these headphones are designed to protect from an all weather, but keep your head on""]"
/Users/amankumar/Desktop/Aims/final data/images/B09ZJ45J7L_img2.jpg,B09ZJ45J7L,"[""headphones with different color colors and shapes on them are shown"", ""features of this product : red and black headphones on a white background"", ""there is a pair of red and black headphones on a white background"", ""blue and red headphones on head on a white background"", ""a detailed description of the product : red headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CC8SBFFR_img1.jpg,B0CC8SBFFR,"[""features of this product : bluetooth earphones"", ""beatsport tws 2 headphones with earbuds in green for sport and exercise"", ""a detailed description of the product : in - ear headphones"", ""an image of a pair of bluetoothed headphones on a white background"", ""an image of a pair of green headsets with a microphone attached""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CC8SBFFR_img2.jpg,B0CC8SBFFR,"[""features of this product : earbuds with mic and volume control"", ""an image of a pair of ear buds sitting on top of each other"", ""a detailed description of the product : in ear headphones"", ""earphones that are in the shape of a shark, and a headphone"", ""motorola hx - 2 in ear headphones by motorola""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DCNWN8NZ_img1.jpg,B0DCNWN8NZ,"[""features of this product : white earphones with mic and volume control"", ""there is a pair of earphones that are connected to a charger"", ""ipad headphones with an ipod charging cable and charging adapter"", ""these are two ear buds sitting on top of each other"", ""a detailed description of the product : white earphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DCNWN8NZ_img2.jpg,B0DCNWN8NZ,"[""product image for headphones with mic attached on a white background"", ""features of this product : white earphones with mic and volume control"", ""there is a pair of earphones that are connected to a charger"", ""motorola on - ear headphones in white set with ear cord"", ""a detailed description of the product : of the apple earpods""]"
/Users/amankumar/Desktop/Aims/final data/images/B07QJYB8BC_img1.jpg,B07QJYB8BC,"[""an image of a pair of earphones with a microphone attached"", ""metal headphones with mic and control system in a group"", ""metal in ear earphones with built in microphone and volume control with 3 5mm jack and 2 5mm cord, made in india and pakistan"", ""a detailed description of the product : in - ear headphones"", ""features of this product : blue and black earphones with mic and volume control""]"
/Users/amankumar/Desktop/Aims/final data/images/B07QJYB8BC_img2.jpg,B07QJYB8BC,"[""a detailed description of the product :ly designed to look like a street light"", ""multiple street lights against a white backdrop, three different color and sizes"", ""bottles are arranged in a line against a wall with a white background"", ""features of this product : different types of tools are available"", ""there are a lot of street lights that are standing in a row""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CD4BRZXW_img1.jpg,B0CD4BRZXW,"[""picture relating a pair of headphones are on a stand to promote the product"", ""features of this product : headphones stand on a white background"", ""this is an image of a pair of headphones on a stand"", ""a detailed description of the product : headphones on a stand"", ""vector of black headphones on the stand for music isolated on white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CD4BRZXW_img2.jpg,B0CD4BRZXW,"[""features of this product : of the headphone stand"", ""samsung ' s galaxy music 3 headphones at a stands"", ""an image of a pair of headphones sitting on top of a stand"", ""a detailed description of the product : headphones on a stand"", ""log in on the image""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CBG1YG5F_img1.jpg,B0CBG1YG5F,"[""features of this product : headphones have a built - in microphone and a built - in mic"", ""the samsung ' s mic headphones are the latest addition to your favorite smartphone"", ""the headphones are attached to the microphone of the headphone"", ""an image of a pair of white headphones on a white background"", ""a detailed description of the product : headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CBG1YG5F_img2.jpg,B0CBG1YG5F,"[""apple headset for kids, on - ear, noise - blocking, and noise - control"", ""blank 3d of the headphones"", ""features of this product : headphones are designed to look like a pair of headphones"", ""a detailed description of the product : headphones"", ""an image of a pair of white headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CCRZPKR1_img1.jpg,B0CCRZPKR1,"[""a detailed description of the product : over - ear headphones"", ""the skull headphones are shown with the leather band and black head band"", ""features of this product : of a headphone with a microphone and a volume control"", ""a close up of a pair of headphones on a white background"", ""the xb2 headphones in black, which are very comfortable""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CCRZPKR1_img2.jpg,B0CCRZPKR1,"[""on - ear headphone with cord on a white background"", ""features of this product : of these headphones are very comfortable and comfortable"", ""a detailed description of the product : headphones"", ""an image of a pair of headphones on a white background"", ""a pair of headphones sitting next to each other""]"
/Users/amankumar/Desktop/Aims/final data/images/B084BVXCBF_img1.jpg,B084BVXCBF,"[""features of this product : blue and white headphones on a white background"", ""a detailed description of the product : blue and white headphones"", ""there is a pair of headphones that are blue and white"", ""turquoise headphones on a white surface with one in the middle"", ""headphones are designed in bright blue with a plastic earpiece""]"
/Users/amankumar/Desktop/Aims/final data/images/B084BVXCBF_img2.jpg,B084BVXCBF,"[""turquoise, green and silver headphone resting on top of headphones"", ""features of this product : blue headphones with a white background"", ""a detailed description of the product : blue and silver headphones"", ""picture shows a pair of blue headphones with metal wires"", ""there is a picture of a pair of headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DGV465ZW_img1.jpg,B0DGV465ZW,"[""picture of anker\u00ae headset with mic and noise cancellation for over ear noise"", ""a close up of a black headset with the word noise on the back"", ""a close up of a pair of headphones on a white background"", ""a detailed description of the product : on - ear headphones"", ""features of this product : headphones are designed for the user of the device""]"
/Users/amankumar/Desktop/Aims/final data/images/B0DGV465ZW_img2.jpg,B0DGV465ZW,"[""buy a pair of headphones from a computer store or in store"", ""the black headphones are facing toward the camera"", ""a detailed description of the product : headphones"", ""an image of a pair of headphones on a white background"", ""features of this product : of the headphones""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D5HGMN72_img1.jpg,B0D5HGMN72,"[""a detailed description of the product : blue and black headphones on a white background"", ""there is a close up of a pair of blue headphones"", ""view of a blue headphone with a blue soundbar attached and two blue ears"", ""a headed angle view of the sony stereo headphones showing the sound, bass and volume"", ""features of this product : blue and black headphones on a white background""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D5HGMN72_img2.jpg,B0D5HGMN72,"[""a detailed description of the product : blue and black headphones"", ""features of this product : bluetooth headphones"", ""the headphones are blue and black on a white background"", ""two large black and blue headphones are resting on a white surface"", ""the headphones are placed on a plain surface""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D1VN2VB7_img1.jpg,B0D1VN2VB7,"[""features of this product : of the marshall electronics headphones"", ""marshallson vintage headphones with a black leather band"", ""guitar headphones displaying different sound levels and design for musicians""]"
/Users/amankumar/Desktop/Aims/final data/images/B0D1VN2VB7_img2.jpg,B0D1VN2VB7,"[""a detailed description of the product : headphones in black and white"", ""an image of a pair of headphones sitting on top of each other"", ""motorola headphones - x900m - black with bluetooth"", ""features of this product : headphones are very comfortable and comfortable to wear"", ""dj headphone - headphones for hire in kingston""]"
/Users/amankumar/Desktop/Aims/final data/images/B0CZF1H82V_img1.jpg,B0CZF1H82V,"[""xbox studio wired headset for xbox one"", ""an image of a pair of headphones sitting on top of each other"", ""an image of a pair of wired headphones with a remote on one ear"", ""features of this product : headphones have a built - in microphone and a built - in mic"", ""a detailed description of the product : headphones on a white background""]"
